noc,country,gold,silver,bronze,total
NOR,Norway,14,8,9,31
ITA,Italy,9,4,11,24
USA,United States,6,10,5,21
GER,Germany,5,8,7,20
JPN,Japan,4,5,10,19
AUT,Austria,5,8,4,17
FRA,France,5,7,4,16
NED,Netherlands,6,6,1,13
SWE,Sweden,5,5,2,12
CAN,Canada,3,4,5,12
SUI,Switzerland,5,2,3,10
KOR,South Korea,1,2,3,6
CHN,China,0,3,3,6
AUS,Australia,3,1,1,5
CZE,Czech Republic,2,2,0,4
SLO,Slovenia,2,1,1,4
POL,Poland,0,3,1,4
FIN,Finland,0,0,4,4
GBR,Great Britain,3,0,0,3
NZL,New Zealand,0,1,1,2
BUL,Bulgaria,0,0,2,2
BEL,Belgium,0,0,1,1
